"","studyid","M_X","Y_X","Y_M","N"
"1",16,0.275287472515702,0.202642643713283,0.63245,58
"2",57,0.457884834078641,0.275641681675621,0.472,46.6666666666667
"3",78,NA,0.268359361689144,NA,21
"4",106,0.14026950306348,-0.0551271373586008,NA,15
"5",107,-0.00156384356642791,0.652817436299693,NA,15
"6",222,0.34544898678633,0.443463303986364,NA,23
"7",428,0.35287650751223,0.158773049965421,NA,23
"8",463,0.311334589474688,0.44593814071823,0.467591666666667,38.1666666666667
"9",586,-0.114985110327666,0.140140721135049,NA,57
"10",593,0.413904994042597,0.505432320050742,0.583,22
"11",711,0.103335938374628,0.144970845639833,0.428,20.5
"12",720,0.0270630004662839,0.141307898181669,0.396375,91
"13",811,0.312180785399789,0.304539605160278,-0.032387548,34.6666666666667
"14",840,0.261272645482494,0.123114452332464,NA,215
"15",844,0.103278158414842,0.214271320588311,0.558075,163.5
"16",845,0.0547126433730313,-0.0112144293855905,NA,212
"17",950,0.0857762828285336,0.269807617800454,0.6955,37.75
"18",971,0.0489945023558791,0.00299183930314006,0.36210839865625,184.05
"19",974,NA,0.095674830949855,NA,344
"20",977,0.0904538814575349,0.0527232637823457,0.2380264436,41.8571428571429
"21",7022,NA,0.142086533483597,NA,295.5
"22",10039,0.0858865782654854,0.108920275195113,0.578333333333333,187
"23",10064,0.196535274002704,0.436180614838712,0.47275,30
"24",10065,0.108704117178078,0.074937675016611,NA,286.25
"25",10103,0.221279508633945,0.138056242251447,0.28716,109.2
"26",10114,0.091438378560344,0.0676900048678473,0.18425,225.5
"27",10115,NA,0.136914393443364,NA,29
"28",10168,NA,0.0895793492030342,NA,20
